stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,platform_code
890000,890000,"Stockland Elizabeth Street",, -19.298033, 146.764370,4,http://translink.com.au/stop/890000/gtfs/,0,,
890001,890001,"Anne St at Richard Street",, -19.292351, 146.766626,4,http://translink.com.au/stop/890001/gtfs/,0,,
890002,890002,"Fulham Rd at Vincent State School",, -19.288469, 146.764218,4,http://translink.com.au/stop/890002/gtfs/,0,,
890003,890003,"Fulham Rd at Vincent Shopping Centre",, -19.288185, 146.761811,4,http://translink.com.au/stop/890003/gtfs/,0,,
890004,890004,"Fulham Rd at St James Village",, -19.288274, 146.759703,4,http://translink.com.au/stop/890004/gtfs/,0,,
890005,890005,"Fulham Rd at Heatley Park",, -19.287374, 146.756877,4,http://translink.com.au/stop/890005/gtfs/,0,,
890006,890006,"Fulham Rd at Heatley Secondary",, -19.288029, 146.753816,4,http://translink.com.au/stop/890006/gtfs/,0,,
890007,890007,"Angus Avenue near Dalrymple Rd",, -19.287307, 146.750644,4,http://translink.com.au/stop/890007/gtfs/,0,,
890008,890008,"Banfield Dr at Louisa Creek",, -19.283170, 146.750305,4,http://translink.com.au/stop/890008/gtfs/,0,,
890009,890009,"Banfield Dr at Pankina Street",, -19.280780, 146.750557,4,http://translink.com.au/stop/890009/gtfs/,0,,
890010,890010,"Banfield Dr at High Vista Drive",, -19.279058, 146.749577,4,http://translink.com.au/stop/890010/gtfs/,0,,
890011,890011,"Banfield Dr at Galway Court",, -19.277140, 146.749633,4,http://translink.com.au/stop/890011/gtfs/,0,,
890012,890012,"Banfield Dr at Banora Court",, -19.274978, 146.749891,4,http://translink.com.au/stop/890012/gtfs/,0,,
890013,890013,"Mt Louisa Drive near Banfield Dr",, -19.274659, 146.748889,4,http://translink.com.au/stop/890013/gtfs/,0,,
890014,890014,"Mount Louisa Dr at Bennett Street",, -19.273373, 146.744033,4,http://translink.com.au/stop/890014/gtfs/,0,,
890015,890015,"Bayswater Rd at Stretton Lane",, -19.271336, 146.745045,4,http://translink.com.au/stop/890015/gtfs/,0,,
890016,890016,"Bayswater Rd at Partridge Street",, -19.271500, 146.746387,4,http://translink.com.au/stop/890016/gtfs/,0,,
890017,890017,"Bayswater Rd at Mathe Street",, -19.271640, 146.748629,4,http://translink.com.au/stop/890017/gtfs/,0,,
890018,890018,"Bayswater Rd at Greg Jabs Court",, -19.272497, 146.755842,4,http://translink.com.au/stop/890018/gtfs/,0,,
890019,890019,"Bayswater Rd at Duckworth Street",, -19.273035, 146.760990,4,http://translink.com.au/stop/890019/gtfs/,0,,
890020,890020,"Bayswater Rd at Pilkington Street",, -19.273528, 146.766037,4,http://translink.com.au/stop/890020/gtfs/,0,,
890021,890021,"Bayswater Rd at Mooney Street",, -19.274533, 146.773150,4,http://translink.com.au/stop/890021/gtfs/,0,,
890022,890022,"Bayswater Rd at Trevor Street",, -19.274721, 146.774738,2,http://translink.com.au/stop/890022/gtfs/,0,,
890023,890023,"Bayswater Rd at Ferguson Street",, -19.275000, 146.777626,2,http://translink.com.au/stop/890023/gtfs/,0,,
